lam,nm\T,K;T=5000 K
2.000000000000e+02;0.000000e+00
2.000250000000e+02;0.000000e+00
2.000500000000e+02;0.000000e+00
2.000750000000e+02;0.000000e+00
2.001000000000e+02;0.000000e+00
2.001250000000e+02;0.000000e+00
2.001500000000e+02;0.000000e+00
2.001750000000e+02;0.000000e+00
2.002000000000e+02;0.000000e+00
2.002250000000e+02;0.000000e+00
2.002500000000e+02;0.000000e+00
2.002750000000e+02;0.000000e+00
2.003000000000e+02;0.000000e+00
2.003250000000e+02;0.000000e+00
2.003500000000e+02;0.000000e+00
2.003750000000e+02;0.000000e+00
2.004000000000e+02;0.000000e+00
2.004250000000e+02;0.000000e+00
2.004500000000e+02;0.000000e+00
2.004750000000e+02;0.000000e+00
2.005000000000e+02;0.000000e+00
2.005250000000e+02;0.000000e+00
2.005500000000e+02;0.000000e+00
2.005750000000e+02;0.000000e+00
2.006000000000e+02;0.000000e+00
2.006250000000e+02;0.000000e+00
2.006500000000e+02;0.000000e+00
2.006750000000e+02;0.000000e+00
2.007000000000e+02;0.000000e+00
2.007250000000e+02;0.000000e+00
2.007500000000e+02;0.000000e+00
2.007750000000e+02;0.000000e+00
2.008000000000e+02;0.000000e+00
2.008250000000e+02;0.000000e+00
2.008500000000e+02;0.000000e+00
2.008750000000e+02;0.000000e+00
2.009000000000e+02;0.000000e+00
2.009250000000e+02;0.000000e+00
2.009500000000e+02;0.000000e+00
2.009750000000e+02;0.000000e+00
2.010000000000e+02;0.000000e+00
2.010250000000e+02;0.000000e+00
2.010500000000e+02;0.000000e+00
2.010750000000e+02;0.000000e+00
2.011000000000e+02;0.000000e+00
2.011250000000e+02;0.000000e+00
2.011500000000e+02;0.000000e+00
2.011750000000e+02;0.000000e+00
2.012000000000e+02;0.000000e+00
2.012250000000e+02;0.000000e+00
2.012500000000e+02;0.000000e+00
2.012750000000e+02;0.000000e+00
2.013000000000e+02;0.000000e+00
2.013250000000e+02;0.000000e+00
2.013500000000e+02;0.000000e+00
2.013750000000e+02;0.000000e+00
2.014000000000e+02;0.000000e+00
2.014250000000e+02;0.000000e+00
2.014500000000e+02;0.000000e+00
2.014750000000e+02;0.000000e+00
2.015000000000e+02;0.000000e+00
2.015250000000e+02;0.000000e+00
2.015500000000e+02;0.000000e+00
2.015750000000e+02;0.000000e+00
2.016000000000e+02;0.000000e+00
2.016250000000e+02;0.000000e+00
2.016500000000e+02;0.000000e+00
2.016750000000e+02;0.000000e+00
2.017000000000e+02;0.000000e+00
2.017250000000e+02;0.000000e+00
2.017500000000e+02;0.000000e+00
2.017750000000e+02;0.000000e+00
2.018000000000e+02;0.000000e+00
2.018250000000e+02;0.000000e+00
2.018500000000e+02;0.000000e+00
2.018750000000e+02;0.000000e+00
2.019000000000e+02;0.000000e+00
2.019250000000e+02;0.000000e+00
2.019500000000e+02;0.000000e+00
2.019750000000e+02;0.000000e+00
2.020000000000e+02;0.000000e+00
2.020250000000e+02;0.000000e+00
2.020500000000e+02;0.000000e+00
2.020750000000e+02;0.000000e+00
2.021000000000e+02;0.000000e+00
2.021250000000e+02;0.000000e+00
2.021500000000e+02;0.000000e+00
2.021750000000e+02;0.000000e+00
2.022000000000e+02;0.000000e+00
2.022250000000e+02;0.000000e+00
2.022500000000e+02;0.000000e+00
2.022750000000e+02;0.000000e+00
2.023000000000e+02;0.000000e+00
2.023250000000e+02;0.000000e+00
2.023500000000e+02;0.000000e+00
2.023750000000e+02;0.000000e+00
2.024000000000e+02;0.000000e+00
2.024250000000e+02;0.000000e+00
2.024500000000e+02;0.000000e+00
2.024750000000e+02;0.000000e+00
2.025000000000e+02;0.000000e+00
2.025250000000e+02;0.000000e+00
2.025500000000e+02;0.000000e+00
2.025750000000e+02;0.000000e+00
2.026000000000e+02;0.000000e+00
2.026250000000e+02;0.000000e+00
2.026500000000e+02;0.000000e+00
2.026750000000e+02;0.000000e+00
2.027000000000e+02;0.000000e+00
2.027250000000e+02;0.000000e+00
2.027500000000e+02;0.000000e+00
2.027750000000e+02;0.000000e+00
2.028000000000e+02;0.000000e+00
2.028250000000e+02;0.000000e+00
2.028500000000e+02;0.000000e+00
2.028750000000e+02;0.000000e+00
2.029000000000e+02;0.000000e+00
2.029250000000e+02;0.000000e+00
2.029500000000e+02;0.000000e+00
2.029750000000e+02;0.000000e+00
2.030000000000e+02;0.000000e+00
2.030250000000e+02;0.000000e+00
2.030500000000e+02;0.000000e+00
2.030750000000e+02;0.000000e+00
2.031000000000e+02;0.000000e+00
2.031250000000e+02;0.000000e+00
2.031500000000e+02;0.000000e+00
2.031750000000e+02;0.000000e+00
2.032000000000e+02;0.000000e+00
2.032250000000e+02;0.000000e+00
2.032500000000e+02;0.000000e+00
2.032750000000e+02;0.000000e+00
2.033000000000e+02;0.000000e+00
2.033250000000e+02;0.000000e+00
2.033500000000e+02;0.000000e+00
2.033750000000e+02;0.000000e+00
2.034000000000e+02;0.000000e+00
2.034250000000e+02;0.000000e+00
2.034500000000e+02;0.000000e+00
2.034750000000e+02;0.000000e+00
2.035000000000e+02;0.000000e+00
2.035250000000e+02;0.000000e+00
2.035500000000e+02;0.000000e+00
2.035750000000e+02;0.000000e+00
2.036000000000e+02;0.000000e+00
2.036250000000e+02;0.000000e+00
2.036500000000e+02;0.000000e+00
2.036750000000e+02;0.000000e+00
2.037000000000e+02;0.000000e+00
2.037250000000e+02;0.000000e+00
2.037500000000e+02;0.000000e+00
2.037750000000e+02;0.000000e+00
2.038000000000e+02;0.000000e+00
2.038250000000e+02;0.000000e+00
2.038500000000e+02;0.000000e+00
2.038750000000e+02;0.000000e+00
2.039000000000e+02;0.000000e+00
2.039250000000e+02;0.000000e+00
2.039500000000e+02;0.000000e+00
2.039750000000e+02;0.000000e+00
2.040000000000e+02;0.000000e+00
2.040250000000e+02;0.000000e+00
2.040500000000e+02;0.000000e+00
2.040750000000e+02;0.000000e+00
2.041000000000e+02;0.000000e+00
2.041250000000e+02;0.000000e+00
2.041500000000e+02;0.000000e+00
2.041750000000e+02;0.000000e+00
2.042000000000e+02;0.000000e+00
2.042250000000e+02;0.000000e+00
2.042500000000e+02;0.000000e+00
2.042750000000e+02;0.000000e+00
2.043000000000e+02;0.000000e+00
2.043250000000e+02;0.000000e+00
2.043500000000e+02;0.000000e+00
2.043750000000e+02;0.000000e+00
2.044000000000e+02;0.000000e+00
2.044250000000e+02;0.000000e+00
2.044500000000e+02;0.000000e+00
2.044750000000e+02;0.000000e+00
2.045000000000e+02;0.000000e+00
2.045250000000e+02;0.000000e+00
2.045500000000e+02;0.000000e+00
2.045750000000e+02;0.000000e+00
2.046000000000e+02;0.000000e+00
2.046250000000e+02;0.000000e+00
2.046500000000e+02;0.000000e+00
2.046750000000e+02;0.000000e+00
2.047000000000e+02;0.000000e+00
2.047250000000e+02;0.000000e+00
2.047500000000e+02;0.000000e+00
2.047750000000e+02;0.000000e+00
2.048000000000e+02;0.000000e+00
2.048250000000e+02;0.000000e+00
2.048500000000e+02;0.000000e+00
2.048750000000e+02;0.000000e+00
2.049000000000e+02;0.000000e+00
2.049250000000e+02;0.000000e+00
2.049500000000e+02;0.000000e+00
2.049750000000e+02;0.000000e+00
2.050000000000e+02;0.000000e+00
2.050250000000e+02;0.000000e+00
2.050500000000e+02;0.000000e+00
2.050750000000e+02;0.000000e+00
2.051000000000e+02;0.000000e+00
2.051250000000e+02;0.000000e+00
2.051500000000e+02;0.000000e+00
2.051750000000e+02;0.000000e+00
2.052000000000e+02;0.000000e+00
2.052250000000e+02;0.000000e+00
2.052500000000e+02;0.000000e+00
2.052750000000e+02;0.000000e+00
2.053000000000e+02;0.000000e+00
2.053250000000e+02;0.000000e+00
2.053500000000e+02;0.000000e+00
2.053750000000e+02;0.000000e+00
2.054000000000e+02;0.000000e+00
2.054250000000e+02;0.000000e+00
2.054500000000e+02;0.000000e+00
2.054750000000e+02;0.000000e+00
2.055000000000e+02;0.000000e+00
2.055250000000e+02;0.000000e+00
2.055500000000e+02;0.000000e+00
2.055750000000e+02;0.000000e+00
2.056000000000e+02;0.000000e+00
2.056250000000e+02;0.000000e+00
2.056500000000e+02;0.000000e+00
2.056750000000e+02;0.000000e+00
2.057000000000e+02;0.000000e+00
2.057250000000e+02;0.000000e+00
2.057500000000e+02;0.000000e+00
2.057750000000e+02;0.000000e+00
2.058000000000e+02;0.000000e+00
2.058250000000e+02;0.000000e+00
2.058500000000e+02;0.000000e+00
2.058750000000e+02;0.000000e+00
2.059000000000e+02;0.000000e+00
2.059250000000e+02;0.000000e+00
2.059500000000e+02;0.000000e+00
2.059750000000e+02;0.000000e+00
2.060000000000e+02;0.000000e+00
2.060250000000e+02;0.000000e+00
2.060500000000e+02;0.000000e+00
2.060750000000e+02;0.000000e+00
2.061000000000e+02;0.000000e+00
2.061250000000e+02;0.000000e+00
2.061500000000e+02;0.000000e+00
2.061750000000e+02;0.000000e+00
2.062000000000e+02;0.000000e+00
2.062250000000e+02;0.000000e+00
2.062500000000e+02;0.000000e+00
2.062750000000e+02;0.000000e+00
2.063000000000e+02;0.000000e+00
2.063250000000e+02;0.000000e+00
2.063500000000e+02;0.000000e+00
2.063750000000e+02;0.000000e+00
2.064000000000e+02;0.000000e+00
2.064250000000e+02;0.000000e+00
2.064500000000e+02;0.000000e+00
2.064750000000e+02;0.000000e+00
2.065000000000e+02;0.000000e+00
2.065250000000e+02;0.000000e+00
2.065500000000e+02;0.000000e+00
2.065750000000e+02;0.000000e+00
2.066000000000e+02;0.000000e+00
2.066250000000e+02;0.000000e+00
2.066500000000e+02;0.000000e+00
2.066750000000e+02;0.000000e+00
2.067000000000e+02;0.000000e+00
2.067250000000e+02;0.000000e+00
2.067500000000e+02;0.000000e+00
2.067750000000e+02;0.000000e+00
2.068000000000e+02;0.000000e+00
2.068250000000e+02;0.000000e+00
2.068500000000e+02;0.000000e+00
2.068750000000e+02;0.000000e+00
2.069000000000e+02;0.000000e+00
2.069250000000e+02;0.000000e+00
2.069500000000e+02;0.000000e+00
2.069750000000e+02;0.000000e+00
2.070000000000e+02;0.000000e+00
2.070250000000e+02;0.000000e+00
2.070500000000e+02;0.000000e+00
2.070750000000e+02;0.000000e+00
2.071000000000e+02;0.000000e+00
2.071250000000e+02;0.000000e+00
2.071500000000e+02;0.000000e+00
2.071750000000e+02;0.000000e+00
2.072000000000e+02;0.000000e+00
2.072250000000e+02;0.000000e+00
2.072500000000e+02;0.000000e+00
2.072750000000e+02;0.000000e+00
2.073000000000e+02;0.000000e+00
2.073250000000e+02;0.000000e+00
2.073500000000e+02;0.000000e+00
2.073750000000e+02;0.000000e+00
2.074000000000e+02;0.000000e+00
2.074250000000e+02;0.000000e+00
2.074500000000e+02;0.000000e+00
2.074750000000e+02;0.000000e+00
2.075000000000e+02;0.000000e+00
2.075250000000e+02;0.000000e+00
2.075500000000e+02;0.000000e+00
2.075750000000e+02;0.000000e+00
2.076000000000e+02;0.000000e+00
2.076250000000e+02;0.000000e+00
2.076500000000e+02;0.000000e+00
2.076750000000e+02;0.000000e+00
2.077000000000e+02;0.000000e+00
2.077250000000e+02;0.000000e+00
2.077500000000e+02;0.000000e+00
2.077750000000e+02;0.000000e+00
2.078000000000e+02;0.000000e+00
2.078250000000e+02;0.000000e+00
2.078500000000e+02;0.000000e+00
2.078750000000e+02;0.000000e+00
2.079000000000e+02;0.000000e+00
2.079250000000e+02;0.000000e+00
2.079500000000e+02;0.000000e+00
2.079750000000e+02;0.000000e+00
2.080000000000e+02;0.000000e+00
2.080250000000e+02;0.000000e+00
2.080500000000e+02;0.000000e+00
2.080750000000e+02;0.000000e+00
2.081000000000e+02;0.000000e+00
2.081250000000e+02;0.000000e+00
2.081500000000e+02;0.000000e+00
2.081750000000e+02;0.000000e+00
2.082000000000e+02;0.000000e+00
2.082250000000e+02;0.000000e+00
2.082500000000e+02;0.000000e+00
2.082750000000e+02;0.000000e+00
2.083000000000e+02;0.000000e+00
2.083250000000e+02;0.000000e+00
2.083500000000e+02;0.000000e+00
2.083750000000e+02;0.000000e+00
2.084000000000e+02;0.000000e+00
2.084250000000e+02;0.000000e+00
2.084500000000e+02;0.000000e+00
2.084750000000e+02;0.000000e+00
2.085000000000e+02;0.000000e+00
2.085250000000e+02;0.000000e+00
2.085500000000e+02;0.000000e+00
2.085750000000e+02;0.000000e+00
2.086000000000e+02;0.000000e+00
2.086250000000e+02;0.000000e+00
2.086500000000e+02;0.000000e+00
2.086750000000e+02;0.000000e+00
2.087000000000e+02;0.000000e+00
2.087250000000e+02;0.000000e+00
2.087500000000e+02;0.000000e+00
2.087750000000e+02;0.000000e+00
2.088000000000e+02;0.000000e+00
2.088250000000e+02;0.000000e+00
2.088500000000e+02;0.000000e+00
2.088750000000e+02;0.000000e+00
2.089000000000e+02;0.000000e+00
